,blueWins,blueWardsPlaced,blueKills,blueDeaths,blueAssists,blueTotalGold,blueTotalMinionsKilled
2097,0,17,5,3,9,16725,228
2098,0,17,7,7,15,17045,214
2099,0,15,2,12,3,13902,173
2100,1,19,13,4,12,21986,263
2101,0,11,3,5,3,15673,234
2102,0,12,4,12,4,14958,192
2103,1,18,10,0,8,18408,243
2104,1,13,7,5,2,17247,249
2105,1,19,9,6,10,17590,200
2106,1,17,9,8,8,17657,227
2107,0,10,2,10,3,14094,197
2108,1,15,3,4,1,14629,184
2109,0,12,1,8,0,12791,173
2110,0,33,6,5,7,16879,203
2111,1,15,5,7,5,16005,218
2112,1,21,12,5,10,18876,218
2113,1,15,14,4,13,20319,216
2114,0,10,12,12,6,19975,213
2115,0,15,2,3,4,13761,187
2116,1,21,7,5,8,16940,238
2117,0,12,3,8,2,14585,225
2118,0,14,7,4,7,16806,217
2119,0,21,5,5,5,15371,224
2120,1,17,12,9,8,18086,190
2121,0,18,4,12,5,14246,189
2122,0,14,4,7,4,15220,236
2123,1,23,5,3,4,16448,245
2124,1,15,8,6,6,16947,184
2125,1,14,2,3,1,14516,229
2126,0,11,4,6,2,14933,190
2127,1,13,9,5,6,17795,220
2128,1,24,5,8,7,16137,219
2129,0,14,6,7,8,15390,194
2130,0,14,3,11,3,13998,171
2131,0,19,6,12,7,16203,203
2132,1,17,2,0,2,15081,240
2133,1,55,4,2,5,16161,230
2134,0,16,4,9,5,15664,208
2135,0,19,9,9,9,16896,187
2136,1,14,17,6,17,22296,251
2137,0,14,5,11,7,15285,185
2138,0,15,3,7,4,14584,220
2139,0,12,3,8,3,15206,205
2140,0,15,1,7,1,13745,198
2141,1,26,4,1,3,16210,261
2142,1,17,6,3,6,16498,233
2143,1,17,5,7,6,15778,235
2144,0,11,3,9,5,14347,182
2145,1,14,7,10,4,16663,214
2146,0,12,4,5,6,16580,236
2147,1,117,6,1,7,16036,200
2148,0,17,2,4,4,13298,192
2149,1,33,9,5,8,16959,199
2150,1,17,11,4,12,18173,218
2151,1,13,5,5,5,16122,236
2152,1,13,5,4,5,16582,216
2153,0,10,5,13,3,15126,206
2154,1,13,11,4,9,17666,218
2155,1,16,6,10,7,16172,191
2156,1,17,7,9,3,15609,182
2157,0,45,5,7,8,15897,216
2158,1,13,8,1,12,18810,261
2159,0,21,3,4,2,15759,245
2160,1,35,5,4,6,15411,215
2161,1,41,8,10,10,16526,174
2162,0,17,11,4,8,17781,225
2163,1,23,13,4,17,20028,213
2164,1,16,10,2,7,18725,248
2165,0,39,3,5,6,15365,216
2166,0,11,5,15,4,15727,198
2167,0,38,3,6,3,15541,236
2168,0,12,2,8,1,14183,221
2169,1,11,8,6,7,17135,216
2170,1,13,5,0,4,16637,250
2171,1,18,4,7,6,15536,234
2172,0,44,5,14,7,15755,203
2173,0,18,5,5,2,15795,201
2174,0,14,2,6,2,13590,170
2175,0,12,4,5,6,16260,225
2176,0,16,6,5,13,15859,209
2177,1,18,11,1,12,18137,207
2178,1,14,8,4,14,17451,210
2179,1,19,5,4,5,15679,224
2180,0,127,9,7,8,18502,212
2181,1,50,4,3,5,15120,218
2182,0,16,5,9,4,15539,163
2183,0,35,3,6,2,13879,148
2184,0,17,6,9,4,15640,195
2185,1,19,9,4,9,18738,246
2186,0,15,8,3,13,18509,270
2187,1,16,3,5,5,15441,226
2188,1,20,5,4,6,15887,201
2189,1,13,7,2,5,16242,218
2190,0,17,4,0,5,15714,210
2191,0,14,3,4,1,15087,250
2192,0,22,7,6,4,16680,196
2193,1,42,8,13,8,17639,194
2194,1,24,9,7,16,18000,204
2195,0,17,2,7,3,13443,192
2196,0,12,10,8,18,18121,230
2197,1,14,3,9,2,14765,200
2198,1,20,8,12,7,17474,226
2199,1,15,12,5,18,20176,218
2200,1,38,9,3,6,19574,237
2201,0,16,5,7,4,15866,222
2202,1,34,12,5,8,19313,237
2203,0,18,2,5,1,15125,241
2204,0,16,6,6,4,16485,220
2205,0,14,2,5,1,14815,233
2206,1,86,4,5,4,15176,227
2207,0,16,1,10,0,13589,207
2208,1,21,7,4,11,17012,226
2209,1,44,5,2,7,17126,248
2210,0,13,4,9,4,15102,214
2211,1,14,8,5,16,17338,214
2212,1,15,5,4,6,17402,246
2213,0,13,2,5,2,14514,211
2214,1,12,9,2,13,18442,256
2215,0,14,1,2,2,15231,262
2216,0,17,6,6,4,17328,245
2217,0,15,10,8,12,17767,194
2218,0,14,3,3,5,15389,231
2219,0,18,3,7,4,15298,223
2220,0,16,5,6,5,17659,225
2221,1,15,6,4,8,17201,239
2222,0,15,2,3,2,15656,240
2223,0,39,6,6,10,16889,240
2224,1,37,11,6,13,18520,204
2225,0,25,3,6,4,14564,209
2226,0,17,5,4,6,16635,217
2227,0,15,4,9,2,15230,192
2228,1,12,2,8,1,14906,229
2229,1,16,8,3,9,17706,221
2230,1,16,4,4,4,16238,234
2231,0,19,5,4,5,16221,241
2232,1,13,6,7,7,16564,222
2233,0,15,2,13,2,14712,202
2234,1,54,7,6,5,17042,189
2235,1,15,10,2,11,18104,201
2236,0,45,3,4,3,15128,215
2237,1,16,7,4,5,17773,262
2238,1,15,7,5,5,17263,237
2239,1,10,8,7,5,17325,246
2240,1,14,13,5,9,19195,205
2241,1,22,3,2,1,16246,253
2242,1,129,7,9,10,16570,206
2243,1,14,5,2,5,15790,216
2244,0,18,6,9,6,16598,196
2245,1,14,12,4,5,20018,226
2246,1,39,9,6,8,17797,220
2247,1,16,7,6,7,16160,206
2248,0,13,1,11,1,12926,164
2249,1,18,2,4,2,14922,227
2250,1,18,11,9,5,18702,234
2251,0,14,7,4,5,17111,231
2252,1,16,11,10,8,18762,202
2253,0,20,6,8,3,16386,207
2254,1,15,7,7,8,15887,171
2255,0,16,5,7,2,16363,225
2256,1,13,8,4,11,17356,206
2257,1,14,10,8,7,17677,184
2258,1,11,5,8,2,16101,230
2259,1,14,8,2,15,18257,209
2260,0,75,8,5,8,16801,198
2261,0,15,9,7,10,17352,220
2262,0,19,7,9,12,16594,210
2263,0,13,6,10,5,15796,195
2264,0,15,5,5,6,16372,234
2265,1,21,7,6,6,17088,220
2266,0,16,6,7,8,16086,199
2267,1,15,7,5,6,17323,240
2268,1,19,4,2,4,15205,234
2269,1,9,4,8,4,16009,214
2270,1,14,5,3,5,17531,241
2271,1,11,3,5,5,15310,228
2272,0,14,4,9,2,14882,192
2273,0,19,4,9,4,15628,233
2274,0,14,3,10,6,14208,212
2275,1,35,9,3,12,19629,232
2276,1,17,7,3,13,17782,225
2277,0,20,2,4,1,14790,240
2278,0,15,8,6,8,17381,218
2279,0,18,6,6,9,16450,212
2280,0,11,5,7,6,16456,213
2281,0,17,4,9,2,15201,174
2282,1,17,8,5,8,17523,240
2283,0,16,7,7,8,17072,228
2284,0,21,11,11,13,18878,222
2285,0,11,4,4,5,14782,211
2286,0,14,3,11,4,14017,182
2287,0,17,7,8,8,16670,220
2288,0,11,5,9,2,14681,174
2289,1,19,3,4,3,15268,202
2290,0,12,5,5,10,15748,203
2291,1,17,9,4,9,17284,238
2292,0,10,6,7,5,16806,205
2293,1,11,5,6,7,15334,193
2294,0,14,3,8,4,15333,220
2295,1,13,7,5,5,17491,251
2296,1,14,4,5,3,15698,214
2297,1,128,7,4,10,18223,230
2298,1,15,10,8,14,18360,222
2299,1,17,4,5,4,16178,223
2300,1,138,3,3,4,15048,223
2301,1,15,7,4,14,16865,211
2302,0,14,7,9,8,18072,221
2303,0,17,11,7,6,17500,193
2304,0,14,6,7,5,16688,213
2305,0,14,9,9,6,17384,227
2306,0,11,3,8,1,15126,214
2307,1,35,7,5,4,17214,241
2308,0,12,9,11,6,17389,226
2309,0,19,3,4,2,14564,214
2310,0,9,5,6,3,17670,253
2311,1,12,6,6,5,16296,216
2312,0,13,5,7,6,15738,191
2313,0,13,1,3,0,14118,215
2314,0,17,8,7,11,16343,179
2315,0,14,2,12,3,14579,196
2316,1,15,9,2,15,18485,232
2317,0,13,12,5,11,18982,234
2318,1,39,6,7,5,16688,223
2319,1,15,1,2,1,14836,261
2320,0,13,2,7,1,14573,212
2321,0,18,4,11,4,15704,206
2322,0,17,7,6,10,16578,206
2323,0,18,5,8,5,16045,208
2324,0,17,3,8,4,14076,184
2325,1,13,7,3,9,16518,208
2326,0,164,4,11,5,15373,227
2327,0,17,4,6,1,15519,255
2328,1,47,9,3,10,16795,203
2329,0,16,8,6,15,15941,162
2330,1,14,7,4,7,17676,233
2331,1,19,3,4,1,15056,225
2332,1,17,2,5,3,15282,243
2333,0,16,3,7,2,15189,217
2334,1,17,6,5,8,16285,230
2335,1,21,8,4,11,18382,224
2336,1,81,4,7,4,15746,195
2337,0,46,5,12,4,16141,215
2338,1,14,5,6,2,15558,221
2339,1,15,2,0,1,15486,251
2340,1,39,9,6,16,17335,193
2341,0,9,1,14,1,12598,204
2342,1,11,9,8,6,17385,216
2343,1,15,6,5,11,16452,208
2344,1,17,8,8,10,15996,185
2345,1,16,6,7,3,16370,231
2346,0,16,1,2,1,14264,220
2347,1,19,5,4,3,17061,249
2348,0,13,9,6,9,16738,198
2349,1,72,9,9,5,17999,227
2350,0,13,11,11,11,18496,213
2351,1,25,7,6,11,16414,205
2352,0,17,5,5,6,16563,226
2353,1,16,1,2,1,14314,244
2354,1,11,6,6,4,16556,231
2355,0,14,4,7,6,14604,190
2356,0,18,4,5,4,16195,241
2357,0,19,6,7,2,14668,198
2358,1,14,6,11,8,16557,232
2359,1,17,7,8,10,16863,216
2360,1,34,13,9,16,19694,215
2361,1,11,10,8,8,18523,229
2362,1,15,10,8,8,17618,212
2363,0,14,9,4,9,18751,249
2364,0,16,2,11,2,13932,193
2365,0,16,5,9,9,16394,238
2366,1,17,11,7,12,18276,202
2367,1,20,9,7,14,17722,215
2368,0,38,5,2,4,16517,246
2369,0,16,5,7,6,15337,198
2370,1,16,7,9,7,17569,239
2371,1,18,9,4,9,17585,240
2372,0,44,5,9,4,15950,231
2373,1,23,7,6,9,16531,218
2374,0,10,8,11,9,16599,189
2375,0,15,5,4,6,16086,222
2376,0,22,1,5,1,15065,252
2377,0,13,2,7,1,13946,227
2378,0,35,7,5,10,16526,217
2379,0,15,7,6,8,16495,211
2380,1,20,3,3,1,17009,238
2381,0,16,4,10,3,15419,191
2382,1,39,7,5,9,16460,220
2383,0,15,7,11,6,16364,223
2384,1,16,6,3,7,16434,216
2385,0,16,9,4,11,17685,224
2386,1,110,6,10,8,16506,216
2387,1,15,9,6,9,17174,212
2388,1,12,3,5,6,14771,227
2389,1,15,6,8,10,16359,182
2390,1,15,5,5,10,15871,219
2391,1,16,6,2,6,18215,256
2392,1,14,5,8,3,15747,214
2393,1,11,7,3,7,16464,209
2394,1,19,8,2,7,16424,196
2395,0,20,9,8,14,17494,201
2396,1,40,8,1,8,18691,228
2397,0,16,7,11,6,16446,218
2398,0,14,7,10,8,16259,184
2399,0,17,4,11,4,16231,211
2400,0,42,7,3,8,16146,196
2401,1,19,9,6,8,17344,191
2402,1,15,8,5,12,17327,203
2403,0,11,6,7,3,16568,215
2404,0,16,3,4,4,15732,241
2405,1,55,7,5,5,16812,228
2406,1,17,4,2,2,16452,273
2407,1,17,6,3,6,17427,249
2408,1,18,7,3,10,16892,207
2409,1,25,5,5,4,17003,252
2410,0,46,7,4,11,16836,205
2411,0,15,3,11,4,14434,181
2412,1,12,7,7,9,16696,202
2413,1,26,8,1,12,16974,182
2414,0,15,2,6,3,13653,178
2415,0,15,1,4,1,13934,222
2416,0,75,0,7,0,13405,214
2417,1,42,10,6,9,18747,225
2418,1,12,3,4,2,15156,217
2419,1,33,11,7,12,19241,198
2420,1,14,7,5,6,15866,176
2421,1,24,3,5,2,14247,226
2422,0,17,3,8,4,13493,167
2423,1,16,4,5,1,15855,238
2424,1,18,1,1,1,15186,231
2425,1,37,10,7,12,17176,188
2426,1,18,5,5,7,16947,226
2427,1,15,11,2,10,19528,234
2428,0,14,1,6,1,13775,206
2429,1,19,10,5,12,18418,247
2430,1,50,3,4,3,14815,189
2431,1,16,13,8,20,21728,242
2432,0,15,5,2,8,16348,243
2433,0,14,6,5,8,16302,231
2434,0,18,3,5,4,15410,216
2435,0,18,4,8,3,15119,216
2436,0,13,7,8,7,16561,201
2437,0,14,1,5,2,13736,180
2438,0,18,4,5,5,15481,222
2439,0,18,4,6,3,15967,227
2440,1,77,5,6,6,16627,223
2441,1,14,9,8,8,17087,190
2442,1,48,6,3,8,17612,246
2443,0,56,8,6,17,16731,205
2444,1,24,12,8,17,18360,202
2445,1,15,8,4,4,18075,237
2446,0,42,10,5,11,19636,247
2447,1,12,6,2,8,16897,234
2448,0,12,4,5,4,14538,211
2449,1,18,2,8,2,14868,224
2450,1,18,14,5,12,20979,250
2451,1,18,4,6,7,16513,249
2452,1,15,4,4,5,16180,210
2453,1,23,6,3,8,16050,195
2454,0,22,2,5,2,14428,210
2455,0,17,6,14,4,16150,194
2456,0,54,7,3,7,17576,227
2457,1,41,4,4,5,14990,187
2458,1,16,8,8,7,17664,220
2459,0,18,4,3,4,16114,235
2460,0,15,3,6,3,15299,230
2461,1,18,10,2,12,18912,257
2462,1,17,7,4,11,19915,246
2463,1,14,7,6,9,18273,207
2464,0,15,4,5,3,15158,219
2465,1,18,4,5,5,16086,222
2466,0,17,9,6,7,18626,226
2467,0,18,8,10,13,17048,193
2468,0,16,2,5,1,14819,223
2469,0,15,5,5,7,15082,199
2470,0,16,1,3,1,14605,244
2471,0,19,9,10,12,17063,200
2472,0,15,1,9,0,13881,225
2473,1,37,6,4,5,17180,258
2474,1,14,6,9,4,16978,229
2475,1,18,12,5,10,17827,208
2476,1,17,6,5,8,16168,176
2477,0,21,3,5,5,15544,238
2478,1,12,10,10,9,17566,183
2479,1,13,5,7,7,15293,202
2480,1,16,9,2,8,17303,219
2481,1,21,4,4,5,17201,234
2482,1,37,6,3,3,18742,252
2483,1,15,5,8,7,16519,210
2484,0,12,1,9,1,13727,207
2485,0,15,8,9,10,17617,217
2486,1,15,11,4,15,19432,228
2487,0,40,4,7,4,15280,202
2488,1,16,3,4,3,15496,214
2489,0,20,4,12,4,15263,176
2490,1,44,6,4,5,17012,225
2491,1,13,1,6,2,14168,217
2492,1,13,9,8,13,17060,207
2493,1,37,7,4,10,17053,219
2494,1,28,7,12,9,17185,200
2495,0,18,3,5,6,16690,248
2496,1,14,10,4,12,18246,229
2497,1,17,7,7,8,16310,219
2498,1,17,5,3,5,16766,232
2499,0,16,12,11,12,19460,223
2500,1,14,5,6,4,15307,205
2501,0,14,4,6,5,15908,218
2502,1,18,6,5,5,16966,231
2503,1,83,6,6,2,16995,241
2504,0,15,12,7,17,18292,216
2505,1,17,6,3,8,16481,229
2506,0,13,3,6,4,14907,226
2507,1,10,6,8,7,15108,191
2508,0,10,6,8,7,14779,137
2509,0,49,6,5,2,15739,193
2510,0,23,6,7,9,16660,210
2511,0,12,0,5,0,13561,222
2512,0,9,8,1,5,17761,247
2513,0,19,1,6,1,14910,245
2514,1,17,9,6,8,17410,190
2515,0,20,4,6,3,15518,241
2516,1,13,8,7,10,18261,248
2517,0,17,4,5,7,15574,236
2518,0,14,5,7,5,16565,220
2519,0,15,5,4,8,16163,242
2520,0,13,3,9,5,14724,218
2521,1,16,10,3,8,17953,213
2522,0,16,5,12,5,14819,164
2523,0,17,4,7,4,15025,212
2524,1,35,11,8,14,18302,235
2525,0,18,11,7,7,18197,205
2526,1,17,8,3,7,18363,233
2527,1,17,8,2,7,17543,254
2528,0,13,8,7,9,16973,204
2529,0,16,7,8,8,16586,226
2530,1,15,11,5,15,18106,191
2531,0,73,9,13,15,16300,141
2532,0,17,8,9,7,16397,183
2533,1,19,6,2,5,16948,241
2534,0,20,4,3,6,14992,213
2535,0,50,5,4,8,16560,220
2536,0,24,5,3,6,15759,219
2537,1,14,6,10,9,14711,154
2538,1,19,6,4,7,16940,244
2539,0,17,4,5,4,15218,203
2540,0,18,4,5,6,15466,228
2541,1,8,4,3,2,15278,227
2542,1,13,16,4,17,19651,200
2543,0,45,9,4,6,18233,244
2544,1,36,7,4,13,17470,206
2545,0,18,7,8,5,16768,225
2546,0,21,3,4,3,14509,201
2547,1,15,7,3,5,16178,216
2548,0,14,2,6,0,14333,223
2549,1,18,9,9,12,17732,194
2550,0,20,4,9,3,14695,207
2551,1,14,7,3,13,17800,223
2552,1,16,4,3,3,16048,255
2553,1,15,1,1,0,14163,246
2554,1,13,4,6,3,15695,238
2555,0,39,3,6,6,14844,218
2556,0,12,9,10,3,15974,175
2557,1,18,3,7,5,14995,240
2558,0,15,4,12,5,14799,218
2559,0,16,10,11,14,17056,167
2560,0,14,7,6,10,16243,192
2561,0,17,11,10,14,17892,157
2562,1,16,6,3,4,16508,243
2563,1,20,4,2,4,16568,242
2564,1,16,5,5,6,16503,231
2565,0,60,9,9,7,17459,185
2566,1,11,7,7,5,17024,222
2567,1,21,5,4,3,16660,252
2568,0,15,2,9,0,14244,207
2569,0,14,1,10,1,14041,226
2570,1,37,4,2,1,16752,232
2571,1,18,8,2,13,17563,203
2572,1,23,6,6,4,17262,231
2573,1,15,9,3,9,17438,186
2574,0,14,3,8,3,14275,180
2575,1,18,7,4,10,16753,220
2576,1,14,8,4,9,17163,224
2577,0,46,5,6,8,15750,214
2578,1,18,7,6,6,15954,211
2579,1,16,9,3,10,18293,240
2580,0,17,13,5,16,19336,212
2581,0,15,2,8,1,14014,205
2582,0,17,6,6,8,16207,211
2583,1,17,4,1,4,16654,255
2584,1,15,4,4,6,16711,233
2585,0,15,7,3,10,16578,200
2586,1,42,4,8,7,16220,227
2587,0,138,6,4,8,15096,199
2588,1,18,10,8,13,18426,192
2589,1,14,11,3,14,18758,212
2590,0,16,4,7,3,15928,204
2591,1,15,6,3,9,16233,215
2592,1,13,8,8,7,16493,175
2593,0,56,6,10,8,15633,210
2594,1,57,7,2,8,17750,237
2595,0,21,5,14,6,16251,213
2596,1,15,7,7,6,17627,244
2597,0,18,5,10,4,17315,253
2598,0,17,4,5,4,15663,237
2599,0,15,2,4,1,14865,233
2600,1,20,5,2,4,16230,235
2601,1,11,5,5,1,16065,247
2602,0,15,7,5,8,17049,223
2603,0,14,4,3,5,15412,212
2604,1,14,10,8,10,17949,200
2605,1,16,6,4,5,16938,220
2606,0,25,4,8,7,14627,193
2607,0,18,6,3,7,16485,222
2608,0,90,4,5,2,15246,217
2609,0,58,10,9,19,17583,201
2610,1,14,10,6,9,18655,254
2611,1,41,7,7,5,16875,219
2612,1,15,6,1,4,17872,247
2613,1,14,7,6,9,16574,197
2614,0,15,9,5,7,17651,222
2615,0,78,4,10,7,15035,183
2616,1,18,5,5,3,16399,236
2617,0,10,8,8,13,18236,221
2618,1,16,5,3,6,15782,219
2619,0,60,7,3,9,16938,226
2620,0,11,5,10,5,14740,156
2621,0,10,5,12,6,15299,169
2622,1,10,8,5,8,17615,206
2623,1,16,13,3,14,20955,225
2624,1,16,6,2,8,16636,245
2625,0,14,0,4,0,13805,221
2626,0,18,11,10,16,18453,204
2627,0,17,5,13,5,14642,171
2628,0,39,3,7,4,14503,207
2629,0,18,3,7,3,15335,234
2630,0,43,6,8,10,15629,176
2631,0,16,5,12,6,15782,195
2632,1,17,12,5,17,18685,234
2633,1,16,2,9,3,14901,214
2634,0,10,1,6,1,14012,230
2635,0,13,4,8,5,15913,193
2636,0,21,5,6,2,14969,200
2637,0,60,3,2,2,14863,230
2638,0,16,5,8,6,15985,214
2639,0,17,9,10,7,17407,214
2640,0,13,5,3,5,15829,237
2641,0,16,5,9,3,14953,183
2642,1,13,13,3,8,20389,235
2643,1,47,6,5,5,16789,233
2644,1,17,13,5,14,20403,238
2645,1,15,2,5,2,15318,219
2646,1,41,2,4,3,15180,225
2647,1,19,8,3,11,18200,218
2648,0,12,5,5,5,15646,186
2649,0,13,5,7,6,15747,192
2650,0,30,3,7,3,14668,197
2651,1,17,8,3,7,19318,257
2652,1,14,10,7,8,18302,237
2653,0,18,5,6,6,15167,200
2654,0,12,3,8,4,15330,205
2655,0,18,2,5,1,14579,218
2656,0,10,5,12,7,15828,195
2657,0,16,10,6,11,18001,216
2658,0,16,5,4,4,17305,246
2659,1,13,11,4,10,18706,243
2660,0,9,7,9,6,16939,223
2661,1,16,5,3,5,17645,224
2662,0,16,6,10,5,15985,176
2663,0,17,12,9,11,18325,190
2664,1,18,6,9,7,18050,238
2665,1,17,11,9,12,18585,221
2666,0,16,2,7,4,14367,203
2667,0,14,7,4,7,16743,215
2668,1,19,13,10,7,18388,185
2669,0,43,4,5,3,15710,242
2670,0,86,6,4,10,17275,241
2671,0,38,7,8,9,16623,206
2672,1,15,6,1,6,17402,262
2673,1,35,7,3,6,17555,248
2674,1,39,2,8,3,14952,264
2675,0,17,6,9,6,15487,187
2676,1,11,7,3,6,18351,222
2677,0,16,1,9,1,13797,173
2678,1,16,6,7,3,16241,238
2679,1,16,6,5,5,17065,257
2680,1,18,8,0,6,18609,244
2681,1,23,8,5,8,16259,171
2682,0,14,8,4,6,17858,267
2683,1,16,12,7,12,19055,225
2684,1,15,8,7,10,17217,185
2685,0,17,6,4,7,16091,238
2686,0,14,8,10,13,17174,244
2687,0,14,3,7,2,14961,220
2688,1,21,7,9,8,16076,187
2689,0,14,5,9,3,15905,203
2690,0,41,6,10,7,15075,179
2691,1,18,7,6,9,16711,207
2692,0,38,7,2,11,17371,209
2693,0,12,3,4,5,15537,231
2694,0,15,2,12,2,13751,183
2695,1,17,8,1,10,18888,232
2696,0,13,3,11,2,13962,192
2697,1,15,5,8,4,16697,214
2698,0,18,4,8,3,15815,245
2699,1,13,6,4,5,17047,260
2700,0,15,5,13,2,15118,214
2701,0,17,6,9,7,16035,196
2702,1,16,8,3,7,16225,179
2703,0,122,3,2,4,15033,211
2704,0,16,8,10,11,17064,185
2705,0,14,13,8,12,18043,186
2706,0,18,5,4,7,15710,239
2707,0,14,6,0,7,17476,226
2708,1,34,1,7,1,14745,236
2709,0,16,6,9,8,16052,221
2710,1,14,10,2,14,18888,242
2711,0,13,3,7,5,15423,241
2712,0,18,7,7,6,15927,192
2713,0,16,5,8,3,15967,223
2714,1,146,13,9,13,19929,224
2715,0,20,5,5,7,16110,222
2716,1,15,9,8,9,17631,214
2717,1,15,4,4,4,16337,251
2718,1,14,6,5,8,16693,240
2719,1,16,5,7,7,18334,231
2720,1,14,4,9,7,14641,171
2721,0,13,2,4,2,14524,214
2722,0,18,6,5,10,16111,219
2723,0,17,3,9,4,15284,207
2724,1,19,2,6,1,14107,180
2725,1,10,7,7,7,17152,223
2726,1,15,7,9,8,16025,197
2727,1,16,2,3,2,15130,234
2728,0,15,7,5,11,16230,181
2729,0,18,7,7,4,16113,205
2730,0,22,10,9,8,17394,195
2731,0,13,2,9,0,13803,203
2732,0,14,3,9,2,13893,171
2733,0,13,5,6,5,16312,239
2734,1,17,11,6,15,18205,207
2735,1,12,5,7,6,16484,242
2736,0,16,6,8,10,16661,233
2737,0,15,5,10,7,15381,202
2738,0,12,13,6,14,19234,179
2739,1,17,11,4,14,19350,234
2740,0,41,5,6,3,17389,224
2741,0,13,8,6,9,16138,195
2742,1,60,3,2,2,15271,199
2743,1,32,10,9,7,17584,159
2744,0,18,8,4,10,17297,211
2745,1,15,9,3,14,17693,201
2746,1,12,4,7,5,14703,232
2747,1,15,6,6,12,17394,233
2748,0,35,9,5,14,16563,182
2749,0,11,4,2,3,15270,225
2750,0,16,3,6,3,14906,195
2751,1,13,14,3,8,19085,226
2752,1,17,2,2,3,15290,253
2753,0,16,4,8,7,15557,212
2754,1,13,8,3,7,17318,244
2755,0,15,7,6,5,16359,219
2756,0,14,3,8,4,14722,218
2757,0,12,3,8,3,15035,202
2758,0,13,2,9,2,14663,228
2759,0,17,4,7,3,15504,222
2760,0,16,4,6,2,16463,247
2761,1,26,7,8,6,17009,241
2762,1,15,6,6,6,16866,218
2763,0,14,6,3,4,16982,242
2764,0,13,3,12,5,15051,211
2765,0,15,10,3,11,18719,236
2766,0,17,7,13,11,15541,180
2767,1,19,14,10,24,20114,220
2768,1,14,10,3,8,20173,248
2769,0,11,9,9,14,17058,174
2770,0,13,11,6,17,19900,200
2771,1,15,5,6,5,15536,179
2772,0,9,5,11,5,15946,208
2773,1,23,17,9,29,22449,209
2774,0,13,6,9,8,15087,177
2775,1,20,3,4,6,14632,198
2776,1,16,8,6,4,16883,215
2777,0,11,7,15,5,15463,208
2778,0,21,5,4,6,16158,175
2779,1,19,4,7,6,15295,225
2780,1,34,8,6,5,17540,232
2781,1,14,6,1,6,17066,239
2782,0,21,5,5,6,16110,245
2783,1,18,9,5,6,17707,205
2784,1,15,6,7,5,16461,173
2785,0,16,5,4,4,16429,242
2786,0,15,3,7,3,15495,226
2787,0,8,4,5,4,15875,235
2788,0,13,7,5,10,16521,223
2789,1,39,7,6,10,16781,195
2790,0,16,10,4,12,17748,175
2791,0,33,5,13,2,16145,221
2792,0,14,3,6,3,15049,200
2793,1,19,8,4,13,16712,194
2794,0,15,8,6,11,17662,219
2795,0,25,3,12,2,15197,223
2796,1,58,6,3,6,17604,248
2797,0,12,10,12,7,17431,202
2798,0,12,2,11,2,14346,200
2799,0,15,8,3,8,17623,229
2800,0,93,8,8,8,18683,218
2801,1,16,4,4,5,15561,226
2802,0,15,10,10,11,18172,218
2803,1,12,6,6,2,16753,190
2804,0,15,6,6,7,15800,203
2805,0,21,1,12,1,13525,210
2806,1,40,5,3,5,16418,242
2807,0,12,3,4,2,14867,222
2808,0,18,1,8,0,14288,237
2809,1,16,6,5,7,16106,216
2810,0,14,7,7,4,16068,193
2811,1,13,6,7,6,16559,208
2812,1,16,5,5,5,16388,256
2813,1,13,4,8,6,15077,208
2814,0,17,2,7,2,15106,237
2815,0,13,4,5,6,16569,228
2816,1,17,9,6,11,16863,227
2817,0,20,7,11,7,16171,166
2818,1,12,7,1,12,17149,216
2819,1,20,5,2,4,16071,224
2820,1,15,8,4,12,18498,232
2821,0,14,3,7,3,14936,225
2822,1,14,12,6,17,18901,210
2823,1,17,6,3,6,16372,191
2824,1,17,10,3,11,17959,222
2825,0,16,2,10,1,13550,194
2826,1,16,4,8,4,15767,233
2827,1,17,10,5,6,17156,235
2828,0,36,2,12,2,13802,202
2829,0,40,5,9,5,15184,199
2830,1,18,3,3,3,15923,248
2831,1,17,4,4,3,15222,228
2832,0,8,2,4,1,14856,240
2833,0,17,6,10,7,15336,187
2834,1,22,10,3,15,18488,224
2835,1,15,5,7,4,15681,205
2836,0,89,3,5,3,17159,250
2837,1,26,3,5,2,15221,218
2838,0,18,8,7,10,16746,188
2839,0,15,6,8,8,18235,229
2840,1,21,5,7,5,16514,244
2841,0,49,8,8,14,17346,191
2842,0,19,3,5,5,14838,208
2843,0,16,3,9,4,14471,208
2844,1,35,5,2,5,16214,225
2845,0,15,8,5,12,17839,217
2846,1,15,6,5,7,17674,225
2847,1,16,11,3,13,19008,206
2848,1,13,4,4,6,15800,231
2849,0,15,6,11,3,16225,203
2850,1,47,8,3,8,18237,230
2851,0,13,6,6,5,16512,225
2852,1,15,9,3,17,17478,257
2853,1,15,3,6,2,15804,222
2854,0,21,7,5,6,16158,224
2855,0,15,5,5,7,15799,225
2856,1,16,9,5,12,18876,235
2857,0,15,2,4,1,15193,252
2858,1,16,8,4,8,19528,257
2859,0,22,7,7,6,17597,244
2860,0,15,5,6,3,16495,230
2861,0,41,5,8,3,16042,238
2862,1,18,3,5,3,15636,220
2863,1,30,11,7,11,19063,237
2864,1,19,11,2,20,18963,239
2865,1,15,9,5,9,18391,183
2866,0,16,3,9,5,15492,245
2867,0,14,5,9,6,16142,230
2868,1,22,6,4,4,16926,229
2869,0,29,4,3,7,15517,231
2870,1,25,7,9,7,16929,228
